Bang!,¡Zas!
Haha!,¡Ja ja!
patience,paciencia
boy, caramba,ay
hurray,aleluya
Sorry?,cómo
congratulations,felicidades
no way,de ningún modo
no way,nada de eso
no way,ni hablar
yes,sí
calm down,tranquilízate
calm down,tranquilo
congratulations,enhorabuena
boo,bu
Alright!,¡Órale!
okay,de acuerdo
hello,bueno
ok,bueno
bravo,bravo
sure,¡Anjá!
ow,ay
cool,guay
Ha!,¡Ja!
come in,adelante
Go ahead!,¡Dale!
bravo,olé
enough,basta
perfect,perfecto
be careful,ojo
hopefully,ojalá
poor dear,pobre
Nonsense!,¡Ca!
great,genial
great,regio
very good,muy bien
down with,abajo
below,abajo
come on,ánimo
be careful,cuidado
hey,eh
Wow!,¡Jo!
Wow!,¡Caray!
Wow!,¡Guau!
Wow!,¡Caramba!
Hey!,¡Oye!
hurrah,viva
ah,ah
