silver,la plata
gold,el oro
amethyst,la amatista
amber,el ámbar
diamond,el diamante
emerald,la esmeralda
ruby,el rubí
agate,el ágata
garnet,el granate
jade,el jade
obsidian,la obsidiana
quartz,el cuarzo
sapphire,el zafiro
topaz,el topacio
turquoise,la turquesa
opal,el ópalo
wool,la lana
wax,la cera
suede,el ante
stone,la piedra
silk,la seda
rubber,la goma
plastic,el plástico
plaster,el yeso
paper,el papel
nylon,el nylon
lace,el encaje
iron,el hierro
flannel,la franela
feather,la pluma
elastic,el elástico
denim,la tela vaquera
cotton,el algodón
corduroy,la pana
copper,el cobre
clay,la arcilla
bronze,el bronce
brick,el ladrillo
aluminum,el aluminio
acrylic,el acrílico
slate,la teja de pizarra
oil,el petróleo
glass,el vidrio
ebony,el ébano
velvet,el terciopelo
felt,el fieltro
linen,el lino
ceramics,la cerámica
marble,el mármol
grout,la lechada
leather,el cuero
wood,la madera
tin,el estaño
