to teach,enseñar
exam,el examen
chalkboard,la pizarra
teacher's desk,mesa del profesor
teacher's desk,el escritorio del profesor
classmate,el compañero de clase
classmate,el compañero
correction,la corrección
to correct,corregir
chalk,la tiza
back to school,el regreso a clases
outline,el boceto
trainee,el/la aprendiz
apprentice,el/la aprendiz
hypothesis,la hipótesis
to edit,editar
presentation,la ponencia
internship,la práctica laboral
average,el promedio
baccalaureate,el bachillerato
face-to-face,presencial
arts,las letras
humanities,las humanidades
spelling bee,el concurso de ortografía
form,el formulario
to ace,lucirse en
to be rude to,faltar
to be absent from,faltar
to miss,faltar
to have lessons,dar clases
to lecture,dar clases
meeting,la reunión
references,referencias bibliográficas
workshop,el taller
on campus,en el recinto universitario
tracking,división de los alumnos en grupos de acuerdo a su nivel de aptitud
streaming,división de los alumnos en grupos según su nivel de aptitud
tutor,el tutor
foreign language assistant,el lector
to take attendance,pasar lista
attendance,la asistencia
homeroom,la clase de tutoría
mentor,el mentor
nurse's office,el botiquín
department,el departamento
secretary,el secretario
level,el nivel
track,el grupo de aprendizaje
draft,el borrador
studious,estudioso
slacker,el vago
hard worker,buen trabajador
philosophy,la filosofía
makeup exam,la recuperación
report card,el boletín de notas
expulsion,la expulsión
suspension,la expulsión temporal
rule,la norma
club,el club
prom,el baile de fin de curso
stress,el stress
summer school,la escuela de verano
to repeat,repetir
nursery school,la guardería infantil
public school,la escuela pública
private school,la escuela privada
boarding school,el internado
trade school,la escuela de oficios
trade school,instituto de formación profesional
secondary school,la secundaria
middle school,la escuela intermedia
elementary school,la primaria
preschool,el preescolar
to apply,presentar una solicitud
homework,los deberes
homework,la tarea
bathroom,el baño
lockers,el casillero
computer room,la sala de computadoras
principal's office,oficina del director
playground,el parque infantil
playground,el patio
locker room,el vestuario
auditorium,el salón de actos
gym,la gimnasia
extra credit,crédito extra
point,el punto
course,la asignatura
academic year,el año académico
school year,el curso escolar
year,el curso
bibliography,la bibliografía
to grade,calificar
to hand in,presentar
to hand in one's homework,entregar la tarea
to revise,repasar
dictionary,el diccionario
schoolbag,la mochila
vocabulary,el vocabulario
task,la tarea
grade,la calificación
learning,el aprendizaje
exercise,el ejercicio
schedule,el horario
unit,la unidad
A level,el bachillerato
principal,el director del colegio
head,el jefe
lesson,la lección
chair,la cátedra
chair,la silla
desk,el escritorio
graduate,el titulado
master's,la maestría
project,el proyecto
poem,la poesía
writing,la escritura
essay,el ensayo
library,la biblioteca
education,la instrucción
education,la educación
extracurricular activities,las actividades extraescolares
recess,el recreo
break,el break
vacation,la vacación
quarter,el trimestre
period,la hora
class,la promoción
class,la clase
teaching assistant,el agregado
assistant professor,el profesor adjunto
teacher,el profesor
teacher,el maestro
school supplies,materiales escolares
test,la prueba
quiz,la prueba
classroom,el aula
