to send,enviar
to come,venir
to put,poner
to see,ver
to pay,pagar
to owe,deber
to win,ganar
to ski,esquiar
to listen to,escuchar
to enter,entrar
to love,encantar
to cut,cortar
to brush,cepillar
to fix,arreglar
to walk,andar
to sell,vender
to bring,traer
to lose,perder
to fall,caer
to wear,vestir
to go up,subir
to laugh,reír
to prefer,preferir
to drive,conducir
to fly,volar
to be left,quedar
to show,mostrar
to throw,echar
to leave,dejar
to take care of,cuidar
to put to bed,acostar
to rain,llover
to read,leer
to run,correr
to introduce,presentar
to paint,pintar
to look at,mirar
to fight,luchar
to arrive,llegar
to raise,levantar
to find,encontrar
to start,empezar
to love,amar
to understand,entender
to drink,beber
to live,vivir
to feel,sentir
to visit,visitar
to ask,preguntar
to think,pensar
to pass,pasar
to order,mandar
to clean,limpiar
to wake up,despertar
to question,cuestionar
to start,comenzar
to write,escribir
to turn into,convertir
to wash,lavar
to study,estudiar
to wait for,esperar
to ask for,pedir
to get,conseguir
to use,usar
to sit,sentar
to try,probar
to cook,cocinar
to dance,bailar
to help,ayudar
to contain,contener
to need,necesitar
to take,llevar
to count,contar
to look for,buscar
to eat,comer
to sleep,dormir
to travel,viajar
to have,haber
to learn,aprender
to hear,oír
to take,tomar
to call,llamar
to walk,caminar
to work,trabajar
to know,conocer
to play,jugar
to know,saber
to go out,salir
to describe,describir
to speak,hablar
to like,gustar
to buy,comprar
to give,dar
to want,querer
to say,decir
to have,tener
to do,hacer
to go,ir
to be,estar
to be,ser
